"Nr okręgu";"Siedziba OKW";"Nr listy (po nadaniu)";"Nazwa komitetu";"Sygnatura";"Typ";"Pozycja na liście";"Nazwisko";"Imiona";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m.z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";11;"WRONA";"Maria";"Kobieta";"emeryt - rolnik";"Cichobórz";"020907";"gm. Prochowice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";584;0.018835064181126234;0.0013504888584669177;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";12;"STANKIEWICZ";"Cecylia Ewa";"Kobieta";"emeryt - menedżer";"Chróstnik";"021102";"gm. Lubin";"nie należy do partii politycznej";"";491;0.015835644713926338;0.001135428132717905;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";13;"SADOWSKI";"Roman Edward";"Mężczyzna";"nauczyciel";"Bolków";"020502";"gm. Bolków";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";626;0.02018964071470038;0.0014476130571922782;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";14;"GRZYB";"Stanisław";"Mężczyzna";"emeryt - przedstawiciel władzy samorządowej";"Nowa Wieś Grodziska";"022603";"gm. Pielgrzymka";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";541;0.01744823582532413;0.0012510521788195248;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";15;"MATYS";"Waldemar Andrzej";"Mężczyzna";"lekarz dentysta";"Lubawka";"020703";"gm. Lubawka";"członek partii politycznej: Stronnictwo Demokratyczne";"";250;0.00806295555698897;0.0005781202305080983;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";16;"SALATA";"Romuald Piotr";"Mężczyzna";"emeryt - górnik";"Bogatynia";"022503";"gm. Bogatynia";"nie należy do partii politycznej";"";172;0.005547313423208411;0.0003977467185895716;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";17;"KRASOWSKI";"Marcin Karol";"Mężczyzna";"informatyk";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";272;0.008772495646003999;0.0006289948107928109;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";18;"TUCHOWSKA";"Kazimiera Zofia";"Kobieta";"emeryt - technik rolnik";"Wilków-Osiedle";"022606";"gm. Złotoryja";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";401;0.012932980713410308;0.0009273048497349897;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";19;"IMIELSKI";"Mariusz Janusz";"Mężczyzna";"emeryt - policjant";"Opolno Zdrój";"022503";"gm. Bogatynia";"członek partii politycznej: Stronnictwo Demokratyczne";"";87;0.0028059085338321614;0.0002011858402168182;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";20;"ŁASICA";"Bartosz";"Mężczyzna";"rolnik";"Nawojów Łużycki";"021004";"gm. Lubań";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";625;0.020157388892472424;0.0014453005762702458;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";21;"OTROCIUK";"Barbara";"Kobieta";"księgowa";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";231;0.0074501709346578085;0.0005341830929894828;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";22;"BUKAT";"Eugenia";"Kobieta";"technolog zbiorowego żywienia";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";121;0.0039024704895826616;0.00027981019156591956;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";23;"GNAT";"Stanisław";"Mężczyzna";"robotnik budowlany";"Sucha Górna";"021604";"gm. Polkowice";"nie należy do partii politycznej";"";418;0.013481261691285558;0.0009666170254095404;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";24;"SUPIERZ";"Leszek Józef";"Mężczyzna";"menedżer";"Kowary";"020602";"m. Kowary";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";605;0.019512352447913307;0.001399050957829598;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";1;"LIPIŃSKI";"Adam Józef";"Mężczyzna";"ekonomista";"Warszawa";"146513";"Ursynów";"członek partii politycznej: Prawo i Sprawiedliwość";"";33269;0.181436923278288;0.0769339277950957;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";2;"WITEK";"Elżbieta Barbara";"Kobieta";"parlamentarzysta";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Prawo i Sprawiedliwość";"";46171;0.25179969895944676;0.10676955665115763;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";3;"MACHAŁEK";"Marzena Anna";"Kobieta";"parlamentarzysta";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";22481;0.12260312820400951;0.05198688360821023;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";4;"KUBÓW";"Krzysztof Jan";"Mężczyzna";"parlamentarzysta";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";23834;0.12998189393774132;0.05511567029572006;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";5;"ZUBOWSKI";"Wojciech Michał";"Mężczyzna";"parlamentarzysta";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Prawo i Sprawiedliwość";"";12868;0.07017735215200366;0.029757004504712838;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";6;"SZYMAŃSKA";"Ewa Zofia";"Kobieta";"biegły rewident";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";8930;0.04870094456927205;0.02065045463374927;"Tak"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";7;"ZEMBIK";"Teresa";"Kobieta";"nauczyciel informatyki/ technologii informacyjnej";"Lubań";"021001";"m. Lubań";"członek partii politycznej: Prawo i Sprawiedliwość";"";3284;0.01790973146310072;0.007594187347954379;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";8;"BABUŚKA";"Adam";"Mężczyzna";"przedstawiciel władzy samorządowej - Starosta";"Nowa Wieś Legnicka";"020905";"gm. Legnickie Pole";"członek partii politycznej: Prawo i Sprawiedliwość";"";3361;0.018329661220304966;0.007772248378950874;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";9;"RYPIŃSKI";"Józef";"Mężczyzna";"fizyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Solidarna Polska";"";3167;0.017271656377478677;0.0073236270800765895;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";10;"POGODA";"Szymon Marek";"Mężczyzna";"kierownik biura";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";4876;0.026591915534128836;0.01127565697582995;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";11;"MARCINIAK";"Wojciech";"Mężczyzna";"filolog";"Sobin";"021604";"gm. Polkowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";3293;0.01795881416199472;0.007614999676252671;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";12;"KARWAN";"Jacek";"Mężczyzna";"prezes";"Gierałtowiec";"022606";"gm. Złotoryja";"członek partii politycznej: Prawo i Sprawiedliwość";"";3161;0.017238934578216007;0.0073097521945443954;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";13;"KREDKOWSKI";"Andrzej";"Mężczyzna";"nauczyciel religii w szkole podstawowej";"Lwówek Śląski";"021203";"gm. Lwówek Śląski";"członek partii politycznej: Prawo i Sprawiedliwość";"";2978;0.01624091970070461;0.006886568185812467;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";14;"BUCIUTO";"Jadwiga Barbara";"Kobieta";"nauczyciel matematyki";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Prawo i Sprawiedliwość";"";1327;0.007236971270260247;0.0030686621835369857;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";15;"GĘBORYS";"Dagmara Helena";"Kobieta";"ekonomista";"Kamienna Góra";"020701";"m. Kamienna Góra";"nie należy do partii politycznej";"";818;0.004461071966143845;0.0018916093942224976;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";16;"BRZOZOWSKA";"Kamila Dorota";"Kobieta";"kierownik wydziału";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Prawo i Sprawiedliwość";"";1427;0.0077823345913047275;0.003299910275740225;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";17;"BADZIŃSKA";"Agnieszka Ewa";"Kobieta";"ekonomista";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Prawo i Sprawiedliwość";"";741;0.004041142208939596;0.0017135483632260034;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";18;"SADOWSKA-KOWALSKA";"Aurelia Barbara";"Kobieta";"pracownik do spraw osobowych";"Szklary Górne";"021102";"gm. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";723;0.003942976811151589;0.0016719237066294204;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";19;"CZYRKO";"Eurydyka Maria";"Kobieta";"nauczyciel języka polskiego w szkole podstawowej";"Olszyna";"021005";"gm. Olszyna";"członek partii politycznej: Prawo i Sprawiedliwość";"";734;0.0040029667764664816;0.0016973609967717766;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";20;"KWIATKOWSKA";"Ewa";"Kobieta";"pielęgniarka";"Polkowice";"021604";"gm. Polkowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";1553;0.008469492375820772;0.003591282871916307;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";21;"URBANOWICZ";"Łukasz Franciszek";"Mężczyzna";"technik mechanik pojazdów samochodowych";"Wola Augustowska";"021204";"gm. Mirsk";"członek partii politycznej: Prawo i Sprawiedliwość";"";530;0.002890425601535743;0.0012256148886771684;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";22;"SARBAK";"Dawid Łukasz";"Mężczyzna";"specjalista administracji publicznej";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";352;0.001919678890076569;0.0008139932845554024;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";23;"BOJAKOWSKA";"Dorota";"Kobieta";"specjalista administracji publicznej";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Prawo i Sprawiedliwość";"";1787;0.009745642547064854;0.0041324034076718865;"Nie"
1;"Legnica";2;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-601-9/19";"Komitet wyborczy partii politycznej";24;"LESZCZYK";"Wojciech Paweł";"Mężczyzna";"fizyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";1699;0.009265722824545712;0.003928905086533036;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";1;"SEKUŁA-SZMAJDZIŃSKA";"Małgorzata Helena";"Kobieta";"adwokat";"Warszawa";"146516";"Wilanów";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";41480;0.5837238428955405;0.09592170864590367;"Tak"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";2;"OBAZ";"Robert Marcin";"Mężczyzna";"inżynier telekomunikacji";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Wiosna Roberta Biedronia";"";4205;0.05917451203895245;0.009723982277146213;"Tak"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";3;"FILACZYŃSKA";"Kaja";"Kobieta";"lekarka";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Lewica Razem";"";4045;0.056922925373974476;0.00935398532962103;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";4;"ZBRZYZNY";"Ryszard";"Mężczyzna";"inżynier górnik";"Osiek";"021102";"gm. Lubin";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";4107;0.05779541520665344;0.00949735914678704;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";5;"PIĄTEK";"Damian";"Mężczyzna";"pracownik samorządowy";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";3196;0.04497544363293508;0.007390689026815529;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";6;"BURAKOWSKA";"Krystyna Anna";"Kobieta";"nauczyciel przedszkola";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Lewica Razem";"";588;0.008274580993794065;0.0013597387821550472;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";7;"PACZÓSKI";"Piotr Jerzy";"Mężczyzna";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";1919;0.02700496756307961;0.004437650889380163;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";8;"ORZECHOWSKA";"Joanna Magdalena";"Kobieta";"specjalista ds. konsultingu";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Wiosna Roberta Biedronia";"";1216;0.017112058653832623;0.00281197680119139;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";9;"GRYĆ";"Paweł";"Mężczyzna";"inżynier organizacji i planowania produkcji";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Lewica Razem";"";473;0.0066562530783411435;0.001093803476121322;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";10;"MIARA";"Rafał";"Mężczyzna";"ekonomista";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";1399;0.019687310901901185;0.003235160809923318;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";11;"JANKOWSKA";"Magdalena";"Kobieta";"biotechnolog";"Chocianów";"021601";"gm. Chocianów";"członek partii politycznej: Wiosna Roberta Biedronia";"";916;0.012890333656998916;0.002118232524581672;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";12;"KRÓLEWIECKA-WALA";"Dominika";"Kobieta";"pedagog specjalny";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Lewica Razem";"";476;0.006698470328309481;0.001100740918887419;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";13;"MAJEWICZ";"Przemysław Mikołaj";"Mężczyzna";"przedsiębiorca";"Polkowice";"021604";"gm. Polkowice";"członek partii politycznej: Wiosna Roberta Biedronia";"";392;0.005516387329196043;0.0009064925214366981;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";14;"BIDNYK";"Mikołaj Adam";"Mężczyzna";"specjalista do spraw rekrutacji pracowników";"Biała";"020902";"gm. Chojnów";"nie należy do partii politycznej";"";411;0.005783763245662177;0.0009504296589553136;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";15;"KOHLMAN";"Piotr Rafał";"Mężczyzna";"nauczyciel";"Głogów";"020301";"m. Głogów";"nie należy do partii politycznej";"";296;0.004165435330209257;0.0006844943529215884;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";16;"GŁUSZKO";"Rafał Krzysztof";"Mężczyzna";"lekarz";"Gromadka";"020103";"gm. Gromadka";"nie należy do partii politycznej";"";827;0.011637888574604916;0.0019124217225207892;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";17;"BACZMAŃSKI";"Paweł Adam";"Mężczyzna";"strażak";"Sady Górne";"020502";"gm. Bolków";"nie należy do partii politycznej";"";730;0.010272864158962019;0.0016881110730836472;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";18;"PŁANETA-SIEWIERSKA";"Edyta Katarzyna";"Kobieta";"adwokat";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";803;0.01130015057485822;0.0018569221803920117;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";19;"GRZYB";"Leszek Kazimierz";"Mężczyzna";"menedżer";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";574;0.00807756716060849;0.0013273640492465937;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";20;"RAKSZEWSKA";"Alicja";"Kobieta";"policjant służby kryminalnej - emeryt";"Lubin";"021101";"m. Lubin";"nie należy do partii politycznej";"";361;0.00508014241285656;0.000834805612853694;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";21;"JÓŹWIK";"Magdalena";"Kobieta";"grafik komputerowy multimediów";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";352;0.004953490662951548;0.0008139932845554024;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";22;"BRYCZKOWSKA";"Inez Jolanta";"Kobieta";"nauczyciel";"Głogów";"020301";"m. Głogów";"nie należy do partii politycznej";"";457;0.006431094411843346;0.0010568037813688037;"Nie"
1;"Legnica";3;"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-601-1/19";"Komitet wyborczy partii politycznej";23;"KOKO";"Daniel Radosław";"Mężczyzna";"fizjoterapeuta";"Ubocze";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Sojusz Lewicy Demokratycznej";"";1028;0.0144664443224835;0.0023772303878493;"Nie"
