Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;11;WRONA;Maria;Kobieta;emeryt - rolnik;CichobÛrz;020907;gm. Prochowice;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;584;1,88%;0,14%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;12;STANKIEWICZ;Cecylia Ewa;Kobieta;emeryt - menedøer;ChrÛstnik;021102;gm. Lubin;nie naleøy do partii politycznej;;491;1,58%;0,11%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;13;SADOWSKI;Roman Edward;MÍøczyzna;nauczyciel;BolkÛw;020502;gm. BolkÛw;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;626;2,02%;0,14%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;14;GRZYB;Stanis≥aw;MÍøczyzna;emeryt - przedstawiciel w≥adzy samorzπdowej;Nowa Wieú Grodziska;022603;gm. Pielgrzymka;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;541;1,74%;0,13%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;15;MATYS;Waldemar Andrzej;MÍøczyzna;lekarz dentysta;Lubawka;020703;gm. Lubawka;cz≥onek partii politycznej: Stronnictwo Demokratyczne;;250;0,81%;0,06%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;16;SALATA;Romuald Piotr;MÍøczyzna;emeryt - gÛrnik;Bogatynia;022503;gm. Bogatynia;nie naleøy do partii politycznej;;172;0,55%;0,04%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;17;KRASOWSKI;Marcin Karol;MÍøczyzna;informatyk;Lubin;021101;m. Lubin;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;272;0,88%;0,06%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;emeryt - technik rolnik;WilkÛw-Osiedle;022606;gm. Z≥otoryja;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;401;1,29%;0,09%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;19;IMIELSKI;Mariusz Janusz;MÍøczyzna;emeryt - policjant;Opolno ZdrÛj;022503;gm. Bogatynia;cz≥onek partii politycznej: Stronnictwo Demokratyczne;;87;0,28%;0,02%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;20;£ASICA;Bartosz;MÍøczyzna;rolnik;NawojÛw £uøycki;021004;gm. LubaÒ;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;625;2,02%;0,14%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;21;OTROCIUK;Barbara;Kobieta;ksiÍgowa;Bogatynia;022503;gm. Bogatynia;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;231;0,75%;0,05%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;22;BUKAT;Eugenia;Kobieta;technolog zbiorowego øywienia;Jelenia GÛra;026101;m. Jelenia GÛra;nie naleøy do partii politycznej;;121;0,39%;0,03%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;23;GNAT;Stanis≥aw;MÍøczyzna;robotnik budowlany;Sucha GÛrna;021604;gm. Polkowice;nie naleøy do partii politycznej;;418;1,35%;0,10%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;24;SUPIERZ;Leszek JÛzef;MÍøczyzna;menedøer;Kowary;020602;m. Kowary;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;605;1,95%;0,14%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;1;LIPI—SKI;Adam JÛzef;MÍøczyzna;ekonomista;Warszawa;146513;UrsynÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;33269;18,14%;7,69%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;2;WITEK;Eløbieta Barbara;Kobieta;parlamentarzysta;Jawor;020501;m. Jawor;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;46171;25,18%;10,68%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;3;MACHA£EK;Marzena Anna;Kobieta;parlamentarzysta;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;22481;12,26%;5,20%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;4;KUB”W;Krzysztof Jan;MÍøczyzna;parlamentarzysta;Lubin;021101;m. Lubin;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;23834;13,00%;5,51%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;5;ZUBOWSKI;Wojciech Micha≥;MÍøczyzna;parlamentarzysta;G≥ogÛw;020301;m. G≥ogÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;12868;7,02%;2,98%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;6;SZYMA—SKA;Ewa Zofia;Kobieta;bieg≥y rewident;Legnica;026201;m. Legnica;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;8930;4,87%;2,07%;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;7;ZEMBIK;Teresa;Kobieta;nauczyciel informatyki/ technologii informacyjnej;LubaÒ;021001;m. LubaÒ;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3284;1,79%;0,76%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;8;BABUåKA;Adam;MÍøczyzna;przedstawiciel w≥adzy samorzπdowej - Starosta;Nowa Wieú Legnicka;020905;gm. Legnickie Pole;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3361;1,83%;0,78%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;9;RYPI—SKI;JÛzef;MÍøczyzna;fizyk;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Solidarna Polska;;3167;1,73%;0,73%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;10;POGODA;Szymon Marek;MÍøczyzna;kierownik biura;Boles≥awiec;020101;m. Boles≥awiec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;4876;2,66%;1,13%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;11;MARCINIAK;Wojciech;MÍøczyzna;filolog;Sobin;021604;gm. Polkowice;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3293;1,80%;0,76%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;12;KARWAN;Jacek;MÍøczyzna;prezes;Giera≥towiec;022606;gm. Z≥otoryja;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3161;1,72%;0,73%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;13;KREDKOWSKI;Andrzej;MÍøczyzna;nauczyciel religii w szkole podstawowej;LwÛwek ålπski;021203;gm. LwÛwek ålπski;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;2978;1,62%;0,69%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;14;BUCIUTO;Jadwiga Barbara;Kobieta;nauczyciel matematyki;Zgorzelec;022502;m. Zgorzelec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1327;0,72%;0,31%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;15;G BORYS;Dagmara Helena;Kobieta;ekonomista;Kamienna GÛra;020701;m. Kamienna GÛra;nie naleøy do partii politycznej;;818;0,45%;0,19%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;16;BRZOZOWSKA;Kamila Dorota;Kobieta;kierownik wydzia≥u;Z≥otoryja;022602;m. Z≥otoryja;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1427;0,78%;0,33%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;17;BADZI—SKA;Agnieszka Ewa;Kobieta;ekonomista;G≥ogÛw;020301;m. G≥ogÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;741;0,40%;0,17%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;pracownik do spraw osobowych;Szklary GÛrne;021102;gm. Lubin;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;723;0,39%;0,17%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;19;CZYRKO;Eurydyka Maria;Kobieta;nauczyciel jÍzyka polskiego w szkole podstawowej;Olszyna;021005;gm. Olszyna;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;734;0,40%;0,17%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;20;KWIATKOWSKA;Ewa;Kobieta;pielÍgniarka;Polkowice;021604;gm. Polkowice;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1553;0,85%;0,36%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;21;URBANOWICZ;£ukasz Franciszek;MÍøczyzna;technik mechanik pojazdÛw samochodowych;Wola Augustowska;021204;gm. Mirsk;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;530;0,29%;0,12%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;22;SARBAK;Dawid £ukasz;MÍøczyzna;specjalista administracji publicznej;Boles≥awiec;020101;m. Boles≥awiec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;352;0,19%;0,08%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;23;BOJAKOWSKA;Dorota;Kobieta;specjalista administracji publicznej;Bogatynia;022503;gm. Bogatynia;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1787;0,97%;0,41%;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;24;LESZCZYK;Wojciech Pawe≥;MÍøczyzna;fizyk;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1699;0,93%;0,39%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;1;SEKU£A-SZMAJDZI—SKA;Ma≥gorzata Helena;Kobieta;adwokat;Warszawa;146516;WilanÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;41480;58,37%;9,59%;Tak
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;2;OBAZ;Robert Marcin;MÍøczyzna;inøynier telekomunikacji;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;4205;5,92%;0,97%;Tak
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;3;FILACZY—SKA;Kaja;Kobieta;lekarka;Legnica;026201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;4045;5,69%;0,94%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;4;ZBRZYZNY;Ryszard;MÍøczyzna;inøynier gÛrnik;Osiek;021102;gm. Lubin;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;4107;5,78%;0,95%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;5;PI•TEK;Damian;MÍøczyzna;pracownik samorzπdowy;G≥ogÛw;020301;m. G≥ogÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;3196;4,50%;0,74%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;6;BURAKOWSKA;Krystyna Anna;Kobieta;nauczyciel przedszkola;Legnica;026201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;588;0,83%;0,14%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;7;PACZ”SKI;Piotr Jerzy;MÍøczyzna;ekonomista;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1919;2,70%;0,44%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;specjalista ds. konsultingu;Legnica;026201;m. Legnica;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;1216;1,71%;0,28%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;9;GRY∆;Pawe≥;MÍøczyzna;inøynier organizacji i planowania produkcji;Jelenia GÛra;026101;m. Jelenia GÛra;cz≥onek partii politycznej: Lewica Razem;;473;0,67%;0,11%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;10;MIARA;Rafa≥;MÍøczyzna;ekonomista;Z≥otoryja;022602;m. Z≥otoryja;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1399;1,97%;0,32%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;11;JANKOWSKA;Magdalena;Kobieta;biotechnolog;ChocianÛw;021601;gm. ChocianÛw;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;916;1,29%;0,21%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;12;KR”LEWIECKA-WALA;Dominika;Kobieta;pedagog specjalny;Legnica;026201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;476;0,67%;0,11%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;13;MAJEWICZ;Przemys≥aw Miko≥aj;MÍøczyzna;przedsiÍbiorca;Polkowice;021604;gm. Polkowice;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;392;0,55%;0,09%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;14;BIDNYK;Miko≥aj Adam;MÍøczyzna;specjalista do spraw rekrutacji pracownikÛw;Bia≥a;020902;gm. ChojnÛw;nie naleøy do partii politycznej;;411;0,58%;0,10%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;15;KOHLMAN;Piotr Rafa≥;MÍøczyzna;nauczyciel;G≥ogÛw;020301;m. G≥ogÛw;nie naleøy do partii politycznej;;296;0,42%;0,07%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;16;G£USZKO;Rafa≥ Krzysztof;MÍøczyzna;lekarz;Gromadka;020103;gm. Gromadka;nie naleøy do partii politycznej;;827;1,16%;0,19%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;17;BACZMA—SKI;Pawe≥ Adam;MÍøczyzna;straøak;Sady GÛrne;020502;gm. BolkÛw;nie naleøy do partii politycznej;;730;1,03%;0,17%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;18;P£ANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;adwokat;Warszawa;146505;MokotÛw;nie naleøy do partii politycznej;;803;1,13%;0,19%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;19;GRZYB;Leszek Kazimierz;MÍøczyzna;menedøer;Zgorzelec;022502;m. Zgorzelec;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;574;0,81%;0,13%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;20;RAKSZEWSKA;Alicja;Kobieta;policjant s≥uøby kryminalnej - emeryt;Lubin;021101;m. Lubin;nie naleøy do partii politycznej;;361;0,51%;0,08%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;21;J”èWIK;Magdalena;Kobieta;grafik komputerowy multimediÛw;Legnica;026201;m. Legnica;nie naleøy do partii politycznej;;352;0,50%;0,08%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;nauczyciel;G≥ogÛw;020301;m. G≥ogÛw;nie naleøy do partii politycznej;;457;0,64%;0,11%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;23;KOKO;Daniel Rados≥aw;MÍøczyzna;fizjoterapeuta;Ubocze;021201;gm. GryfÛw ålπski;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1028;1,45%;0,24%;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;24;GADEK;S≥awomir Adam;MÍøczyzna;inøynier mechanik - úrodki transportu;Jerzmanowa;020303;gm. Jerzmanowa;cz≥onek partii politycznej: Lewica Razem;;810;1,14%;0,19%;Nie
1;Legnica;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;1;UTECHT;Waldemar Arkadiusz;MÍøczyzna;politolog;Sieradz;101401;m. Sieradz;cz≥onek partii politycznej: Konfederacja WolnoúÊ i Niepodleg≥oúÊ;;6358;25,11%;1,47%;Nie
1;Legnica;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;2;JASI—SKI;Krzysztof Piotr;MÍøczyzna;ekonomista;Glinica;020306;gm. Øukowice;cz≥onek partii politycznej: Ruch Narodowy;;2313;9,14%;0,53%;Nie
1;Legnica;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;3;POTOCKA-KACZYK;Anna Dorota;Kobieta;menedøer;Rudna;021103;gm. Rudna;cz≥onek partii politycznej: Ruch Narodowy;;2413;9,53%;0,56%;Nie
1;Legnica;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;4;MISTO—;Krzysztof Norbert;MÍøczyzna;pracownik dzia≥u zapewnienia jakoúci;ChocianÛw;021601;gm. ChocianÛw;nie naleøy do partii politycznej;;677;2,67%;0,16%;Nie
1;Legnica;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;5;GUDOWSKI;Dominik S≥awomir;MÍøczyzna;muzyk;Stara Kamienica;020609;gm. Stara Kamienica;nie naleøy do partii politycznej;;850;3,36%;0,20%;Nie
